,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
3762,-23.91636656717856,-30.085448036843307,-20.51890140997188,-29.1019712808098,-27.98438405804444,-24.25164273400816,-27.69381138012545,-18.88722406473447,-21.56943339937132,-28.297308480418742,-22.038820032932765,-24.98925030103329,-23.804607844902023,-26.39741020171764,-25.324526467862903,-26.64327939072602
3763,-23.91636656717856,-30.13015152575392,-20.78712234343557,-29.1019712808098,-28.1631980136869,-24.385753200740005,-27.760866613491373,-18.753113598002624,-21.56943339937132,-28.364363713784662,-21.725895610558464,-24.81043634539084,-23.84931133381264,-26.352706712807027,-25.3021747234076,-26.531520668449485
3764,-23.938718311633863,-30.107799781298613,-20.49654966551657,-29.07961953635449,-27.91732882467852,-24.43045668965062,-27.78321835794668,-19.04368627592162,-21.725895610558464,-28.587881158337733,-21.88235782174561,-24.85513983430145,-23.82695958935733,-26.419761946172947,-25.3021747234076,-26.71033462409194
3765,-23.91636656717856,-30.085448036843307,-20.65301187670373,-29.124323025265102,-28.029087546955058,-24.22929098955285,-27.760866613491373,-18.84252057582385,-21.77059909946908,-28.565529413882427,-21.74824735501377,-24.87749157875676,-23.804607844902023,-26.598575901815405,-25.391581701228823,-26.62092764627071
3766,-23.60344214480426,-29.90663408120085,-20.8765293212568,-29.124323025265102,-28.00673580249975,-24.45280843410593,-27.69381138012545,-18.753113598002624,-21.34591595481825,-28.27495673596344,-21.70354386610316,-24.676325878659,-23.82695958935733,-26.531520668449485,-25.43628519013944,-26.665631135181325
3767,-23.78225610044672,-30.063096292388,-20.608308387793112,-29.07961953635449,-28.051439291410365,-24.318697967374085,-27.64910789121484,-18.88722406473447,-21.56943339937132,-28.61023290279304,-21.74824735501377,-24.74338111202492,-23.91636656717856,-26.37505845726233,-25.145712512220445,-26.82209334636848
3768,-23.581090400348952,-30.398372459217605,-20.72006711006965,-29.16902651417572,-27.939680569133827,-24.385753200740005,-27.91732882467852,-18.57429964236017,-21.39061944372886,-28.364363713784662,-21.837654332835,-24.87749157875676,-23.581090400348952,-26.37505845726233,-25.145712512220445,-26.46446543508356
3769,-23.84931133381264,-29.97368931456677,-20.78712234343557,-29.30313698090756,-27.894977080223214,-24.385753200740005,-27.64910789121484,-18.93192755364508,-21.48002642155009,-28.565529413882427,-21.860006077290308,-24.832788089846147,-23.871663078267943,-26.687982879636632,-25.212767745586365,-26.44211369062825
3770,-23.78225610044672,-30.152503270209227,-20.76477059898026,-28.96786081407795,-28.096142780320974,-24.139884011731628,-27.71616312458076,-18.77546534245793,-21.48002642155009,-28.565529413882427,-21.860006077290308,-24.832788089846147,-23.871663078267943,-26.687982879636632,-25.212767745586365,-26.44211369062825
3771,-23.871663078267943,-30.085448036843307,-20.65301187670373,-29.034916047443875,-27.805570102401987,-24.18458750064224,-27.939680569133827,-18.90957580918977,-21.48002642155009,-28.565529413882427,-21.860006077290308,-24.832788089846147,-23.871663078267943,-26.687982879636632,-25.212767745586365,-26.44211369062825
3772,-23.804607844902023,-29.90663408120085,-20.58595664333781,-28.990212558533266,-27.760866613491373,-24.3634014562847,-27.827921846857294,-18.86487232027916,-21.74824735501377,-28.051439291410365,-21.77059909946908,-24.676325878659,-23.96107005608917,-26.39741020171764,-25.3021747234076,-26.46446543508356
3773,-23.7375526115361,-30.107799781298613,-20.675363621159036,-29.14667476972041,-28.00673580249975,-24.16223575618693,-27.8502735913126,-18.79781708691324,-21.61413688828193,-28.54317766942712,-21.81530258837969,-24.94454681212268,-23.82695958935733,-26.531520668449485,-25.3021747234076,-26.844445090823783
