,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
3512,39222.95292889511,40788.42440705591,-51545.33553663916,-46840.94152938623,-51198.63762839289,-48971.420403888274,2581.5594293546,-86266.82594619108,-187500.02235174447,-187500.02235174447,187500.0,-48696.04691219889,-187500.02235174447,-17035.091463934357,-62442.50386267947,-5499.199688339197
3513,39141.34670988879,40720.36334518949,-51541.9157197375,-46868.83650646645,-51183.03611076309,-48959.7080897937,2533.391420053413,-86217.60740490048,-187500.02235174447,-187500.02235174447,187500.0,-48702.774787279945,-187500.02235174447,-16878.830418447305,-62458.239490776,-5448.215359236641
3514,39174.15907074918,40746.49253445775,-51555.974966999886,-46849.03286087905,-51188.55699164355,-48966.30185440801,2469.264265211137,-86159.89520071688,-187500.02235174447,-187500.02235174447,187500.0,-48700.85253725678,-187500.02235174447,-17023.446205073145,-62438.45819693306,-5496.763348193568
3515,39155.85299204028,40757.55664796313,-51529.93518470946,-46863.405032563816,-51182.522020640616,-48957.56232232599,2410.613287760412,-86104.46287446772,-187500.02235174447,-187500.02235174447,187500.0,-48709.21208968307,-187500.02235174447,-16892.621444776232,-62458.66417392065,-5462.9898623216
3516,39165.53129738943,40752.907485116426,-51555.706746066426,-46840.71801194167,-51188.91461955484,-48961.093897949926,2353.32576672146,-86050.39400463033,-187500.02235174447,-187500.02235174447,187500.0,-48697.9468104776,-187500.02235174447,-17020.42871957168,-62439.41932194464,-5526.826444485956
3517,39182.47391968655,40773.73931094877,-51510.08683563314,-46854.95607315971,-51192.89323006788,-48959.64103456033,2285.4211670662366,-85987.33973352192,-187500.02235174447,-187500.02235174447,187500.0,-48700.45020585659,-187500.02235174447,-16894.163715143648,-62463.71566816756,-5497.836231927423
3518,39120.85016022327,40687.97566747376,-51578.68433936648,-46857.90650342781,-51195.39662544688,-48964.20079042921,2226.5466721709577,-85953.52154416103,-187500.02235174447,-187500.02235174447,187500.0,-48702.23834541302,-187500.02235174447,-17002.010882140505,-62454.86437736326,-5558.454162890215
3519,39209.56423396638,40786.39039831048,-51516.613545014094,-46860.11932612888,-51197.52004117013,-48975.287255679046,2154.3281858358605,-85890.4225695637,-187500.02235174447,-187500.02235174447,187500.0,-48715.0458949859,-187500.02235174447,-16931.06644523936,-62471.494075238006,-5549.446409874727
3520,39105.85213969376,40683.93000172735,-51598.71150239844,-46872.54689604604,-51188.44523292127,-48967.03946197504,2098.135900275219,-85863.0640343504,-187500.02235174447,-187500.02235174447,187500.0,-48717.1022554758,-187500.02235174447,-16994.634806470254,-62456.9430895976,-5590.10423303893
3521,39250.9149612087,40818.71102079285,-51515.18303336895,-46855.626625493365,-51193.65318937936,-48971.219238188176,2014.9650591570207,-85783.67063804515,-187500.02235174447,-187500.02235174447,187500.0,-48709.16738619416,-187500.02235174447,-16959.430808953144,-62463.2909850229,-5556.95659601171
